input,output
"question: what is the proposition in TARGETCASE? context: [47] While the applicant has been undoubtedly prejudiced in having to undergo further proceedings and to incur additional costs in the determination of his application for permanent residence, the threshold for establishing abuse of process because of administrative delay is very high; as discussed <REFERENCE> at para 115: <TARGETCASE> Where inordinate delay has directly caused significant psychological harm to a person, or attached a stigma to a person's reputation, such that the human rights system would be brought into disrepute, such prejudice may be sufficient to constitute an abuse of process. The doctrine of abuse of process is not limited to acts giving rise to an unfair hearing; there may be cases of abuse of process for other than evidentiary reasons brought about by delay. It must however be emphasized that few lengthy delays will meet this threshold. I caution that in cases where there is no prejudice to hearing fairness, the delay must be clearly unacceptable and have directly caused a significant prejudice to amount to an abuse of process. It must be a delay that would, in the circumstances of the case, bring the human rights system into disrepute. ... <REFERENCE> ","Inordinate delay that directly causes significant psychological harm or attaches a stigma to a person's reputation, bringing the human rights system into disrepute, may constitute an abuse of process, even if there is no prejudice to hearing fairness, but the delay must be clearly unacceptable and have directly caused significant prejudice."
"question: what is the proposition in TARGETCASE? context: [9] In rebuttal, counsel for Mr. Odynsky submitted that the issue being addressed on the assessment was costs, not the standing of the Applicant. Concerning the issue of public interest, counsel referred to <TARGETCASE> which held: I think that the application of Rule 400(3) factors against the interest of successful litigants would require carefully considered discretion. Rule 409, being permissive, does not bind an assessment officer to exercise discretion exactly as the Court has done and does not automatically require that a public interest factor override all other factors so as to achieve minimum or maximum allowances. In Early Recovered Resources Inc., supra, I tempered the weight given to public interest because it was regional in nature. I doubt that, in these circumstances, I can ignore the Appellants' role in creating scrutiny of the process, but it is also uncontroverted that the Respondent had important responsibilities, including respect for the Appellants' right to proceed. The Respondent, having received the ordinary scale of party and party costs, is not bound by a public interest factor to permit the Appellants to escape completely the consequences of that costs award, ie. by minimum allowances when higher allowances might otherwise be warranted .... Counsel further contended that any issue of public interest was between the Applicant and the Attorney General of Canada. Counsel argued that Mr. Odynsky had been dragged into the application as the dispute between the Applicant and the Attorney General of Canada was his citizenship. ",Rule 409 does not bind an assessment officer to exercise discretion exactly as the Court has done and does not automatically require that a public interest factor override all other factors so as to achieve minimum or maximum allowances.
"question: what is the proposition in TARGETCASE? context: [44] The respondent notes that H&C decisions are highly discretionary and exceptional and are not designed to eliminate all hardship, but to provide relief from unusual, undeserved or disproportionate hardship. <TARGETCASE> ","H&C decisions are highly discretionary and exceptional, designed to provide relief from unusual, undeserved or disproportionate hardship, not to eliminate all hardship."
"question: what is the proposition in TARGETCASE? context: [12] State protection is reviewable on a standard of reasonableness ( <REFERENCE> ). As such, the examination goes to ""the existence of justification, transparency and intelligibility within the decision-making process"" and also to whether the decision as a whole ""falls within a range of possible, acceptable outcomes which are defensible in respect of the facts and law"" ( <TARGETCASE> ). ","State protection is reviewable on a standard of reasonableness, examining the existence of justification, transparency and intelligibility within the decision-making process, and whether the decision falls within a range of possible, acceptable outcomes defensible in respect of the facts and law."
"question: what is the proposition in TARGETCASE? context: [9] The Officer, in substance, incorrectly elevated the test for the best interests of the child. Although the Officer did not use the specific language of ""unusual and undeserved or disproportionate hardship"" in his best interests analysis, it is clear from reading the decision as a whole that the Officer was on a search for undeserved or disproportionate hardship. Further, the Officer did not turn his mind to identifying the best interests of the child. It is well-established that an officer must be ""alert, alive and sensitive"" to the interests of the child: Baker at para 75. In order for an officer to be properly ""alert, alive and sensitive"" to a child's best interests, the officer should have regard to the child's circumstances, from the child's perspective. <TARGETCASE> ","An officer must be 'alert, alive and sensitive' to the interests of the child, and should consider the child's circumstances from the child's perspective."
"question: what is the proposition in TARGETCASE? context: [22] The applicant submits that the officer failed to take into account evidence relevant to the consideration of personal suitability in making her decision, in particular the applicant's employer's assessment and his volunteer activities. The visa officer has discretion in weighing evidence related to personal suitability. I agree with the position taken by my colleague Madame Justice Simpson in <REFERENCE> the Officer exercised her discretion inappropriately by overlooking relevant factors or by placing undue emphasis on particular factors or in some way acting unfairly, I am not in a position to second-guess her exercise of discretion. <REFERENCE> In that case, the applicant argued that the officer had overlooked supportive character references in arriving at her determination of personal suitability. Simpson, J., responded to this submission as follows: <TARGETCASE> ""I have concluded that there is no reason to suppose that the Officer overlooked the references. I think that the Officer concluded that the fact that the applicant was a hard worker was not overcome by the fact that he did not advance in his chosen field, either by study or by employment. It was open to the Officer to find that these were the most significant factors in her assessment of the applicant's personal suitability. <REFERENCE> ","The Officer can conclude that the fact that the applicant was a hard worker was not overcome by the fact that he did not advance in his chosen field, either by study or by employment, and these can be the most significant factors in her assessment of the applicant's personal suitability."
"question: what is the proposition in TARGETCASE? context: [24] On this point, the Respondent argues that the Officer's conclusion that there was insufficient evidence cannot be read in isolation and must be considered in the context of the findings and summary of evidence prior to such conclusion. The Respondent states that this Court should not interfere with the Officer's decision unless it is outside the range of acceptable outcomes (citing TARGETCASE). ",The Court should not interfere with the Officer's decision unless it is outside the range of acceptable outcomes.
"question: what is the proposition in TARGETCASE? context: [49] If there is such a duty to preserve evidence, it only concerns documentary evidence, not testimonies. In all the leading cases on the issue of preservation and spoliation of evidence, the central question was the destruction of documents by one party: see, for ex., TARGETCASE. It could even be argued that it would have been wrong for the NRC to talk to its employees, as it could have been perceived to taint the process. It is much preferable to leave the investigation to the Commission, precisely to avoid this pitfall. E. Did the Tribunal Err in Law by Placing No Weight on the Significance of Documentary Exhibits in the Present Case? ","The duty to preserve evidence only concerns documentary evidence, not testimonies."
"question: what is the proposition in TARGETCASE? context: [29] I must recall that while the construction of a patent is for the court, the specification (including both disclosure and claims) is directed to a person skilled in the art at the date of the patent and the knowledge such a person is expected to possess is to be taken into consideration (see <REFERENCE> , at 101 and 104, and Fox, Canadian Patent Law (4th) p. 206). The claims are read as part of the entire patent and not as a separate document. <TARGETCASE> C.P.R.(2d) 1, the Federal Court of Appeal recognized that resort may be had to the disclosure to assist in interpreting the claims. Indeed, after having reviewed the relevant authorities and the principles applicable in the construction of patents, Mr. Justice Urie, at page 11, summarized those principles as follows: ""In summary, the principles which I derive from the above-mentioned authorities as well as from others referred to in argument, to which further reference need not be made here, are that in construing the claims in a patent recourse to the remainder of the specification is (a) permissible only to assist in understanding terms used in the claims; (b) unnecessary where the words of the claim are plain and unambiguous; and (c) improper to vary the scope or ambit of the claims. There may well be other principles applicable in the construction of claims but the foregoing are those to be borne in mind in dealing with the attacks on the trial judgment in this appeal."" ","In construing the claims in a patent, recourse to the remainder of the specification is permissible only to assist in understanding terms used in the claims, unnecessary where the words of the claim are plain and unambiguous, and improper to vary the scope or ambit of the claims."
"question: what is the proposition in TARGETCASE? context: [147] Prothonotary Tabib appears to have been concerned not to impose obligations regarding responses to undertakings that were too disconnected from the principles that guide cross-examination on an affidavit to begin with. This seems a legitimate concern to me: if a party cannot compel an affiant to inform herself or disclose documents in response to questions asked at the cross-examination itself, does an undertaking (or an implied undertaking through a response) suddenly transform the process into full-blown discovery? At the same time, the jurisprudence outlined above is clear that parties must honour their undertakings to respond to questions or disclose documents. The <TARGETCASE> case referred to (also decided by Prothonotary Tabib) provides the following analysis regarding how these competing considerations are to be balanced: ","Parties must honour their undertakings to respond to questions or disclose documents, but these obligations should not transform the process into full-blown discovery."
